Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Return
2020-07-21,213.66000366210935,213.94000244140625,208.02999877929688,208.75,200.0003662109375,37990400,MSFT,0.0
2020-07-22,209.1999969482422,212.3000030517578,208.38999938964844,211.75,202.87461853027344,49605700,MSFT,0.014371257485029876
2020-07-23,207.19000244140625,210.9199981689453,202.1499938964844,202.5399932861328,194.05064392089844,67457000,MSFT,-0.04349471883762546
2020-07-24,200.4199981689453,202.8600006103516,197.50999450683597,201.3000030517578,192.86265563964844,39827000,MSFT,-0.006122199444448695
2020-07-27,201.47000122070312,203.97000122070312,200.8600006103516,203.8500061035156,195.3057403564453,30160900,MSFT,0.012667675176845972
2020-07-28,203.6100006103516,204.6999969482422,201.7400054931641,202.0200042724609,193.55247497558597,23251400,MSFT,-0.008977197823214267
2020-07-29,202.5,204.6499938964844,202.00999450683597,204.05999755859372,195.50694274902344,19632600,MSFT,0.010097976650775164
2020-07-30,201.0,204.4600067138672,199.57000732421875,203.8999938964844,195.3536834716797,25079600,MSFT,-0.0007841010684290772
2020-07-31,204.3999938964844,205.1000061035156,199.00999450683597,205.00999450683597,196.41714477539065,51044000,MSFT,0.005443848178411814
2020-08-03,211.5200042724609,217.63999938964844,210.44000244140625,216.5399932861328,207.4638519287109,78983000,MSFT,0.056241154520456194
2020-08-04,214.1699981689453,214.7700042724609,210.30999755859372,213.2899932861328,204.35009765625,49280100,MSFT,-0.015008774825745475
2020-08-05,214.8999938964844,215.0,211.57000732421875,212.94000244140625,204.01475524902344,28806400,MSFT,-0.0016409154472476484
2020-08-06,212.33999633789065,216.3699951171875,211.5500030517578,216.3500061035156,207.2818145751953,32656800,MSFT,0.01601391764352811
2020-08-07,214.8500061035156,215.6999969482422,210.92999267578125,212.47999572753903,203.57400512695312,27820400,MSFT,-0.017887729451345202
2020-08-10,211.6699981689453,211.8800048828125,206.3500061035156,208.25,199.5213623046875,36716500,MSFT,-0.01990773631680187
2020-08-11,207.16000366210935,207.6499938964844,203.13999938964844,203.3800048828125,194.85543823242188,36446500,MSFT,-0.023385330694777884
2020-08-12,205.2899932861328,210.27999877929688,204.75,209.19000244140625,200.4219207763672,28013100,MSFT,0.028567201392002417
2020-08-13,209.44000244140625,211.3500061035156,208.1499938964844,208.6999969482422,199.95248413085935,22588900,MSFT,-0.0023423944139076003
